Question,Solution,,,,,,,,
"2.12 The mass of a box measured by a grocer’s balance is 2.30 kg. Two gold pieces of masses 20.15 g and 20.17 g are added to the box. What is
(a) the total mass of the box,
(b) the difference in the masses of the pieces to correct significant figures? ","The mass of the box = 2.30 kg
and the mass of the first gold piece = 20.15 g
The mass of the second gold piece = 20.17 g
The total mass = 2.300 + 0.2015 + 0.2017 = 2.7032 kg
Since 1 is the least number of decimal places, the total mass = 2.7 kg.
The mass difference = 20.17 – 20.15 = 0.02 g
Since 2 is the least number of decimal places, the total mass = 0.02 g.",,,,,,,,
"2.13 A physical quantity P is related to four observables a, b, c and d as follows:P = \(\begin{array}{l}\frac{a^{3}b^{2}}{\sqrt{c}d}\end{array} \)
The percentage errors of measurement in a, b, c and d are 1%, 3%, 4% and 2%, respectively. What is the percentage error in the quantity P? If the value of P calculated using the above relation turns out to be 3.763, to what value should you round off the result?","( \(\begin{array}{l}\frac{\Delta P}{P}\end{array} \) x 100 ) % = ( 3 x \(\begin{array}{l}\frac{\Delta a}{a}\end{array} \) x 100 + 2 x \(\begin{array}{l}\frac{\Delta b}{b}\end{array} \) x 100 + \(\begin{array}{l}\frac{1}{2}\end{array} \) \(\begin{array}{l}\frac{\Delta c}{c}\end{array} \) x 100 + \(\begin{array}{l}\frac{\Delta d}{d}\end{array} \) x 100 ) %
= 3 x 1 + 2 x 3 + \(\begin{array}{l}\frac{1}{2}\end{array} \) x 4 + 2
= 3 + 6 + 2 + 2 = 13 %
P = 4.235
=  \(\begin{array}{l}\frac{13P}{100}\end{array} \)
= \(\begin{array}{l}\frac{13\times 4.235}{100}\end{array} \)
= 0.55
The error lies in the first decimal point, so the value of p = 4.3",,,,,,,,
"2.14 A book with many printing errors contains four different formulas for the displacement y of a particle undergoing a certain periodic motion:
(a) y = a sin (\(\begin{array}{l}\frac{2\pi t}{T}\end{array} \)) 
(b) y = a sin vt
(c) y = \(\begin{array}{l}\frac{a}{T}\end{array} \) sin\(\begin{array}{l}\frac{t}{a}\end{array} \)
(d) y =\(\begin{array}{l}a\sqrt{2}\end{array} \) ( sin\(\begin{array}{l}\frac{2\pi t}{T}\end{array} \) + cos\(\begin{array}{l}\frac{2\pi t}{T}\end{array} \) )","(a)  y = a sin \(\begin{array}{l}\frac{2\pi t}{T}\end{array} \)

Dimension of y = M0 L1 T0
The dimension of a = M0 L1 T0
Dimension of sin \(\begin{array}{l}\frac{2\pi t}{T}\end{array} \) = M0 L0 T0
Since the dimensions on both sides are equal, the formula is dimensionally correct.
(b) It is dimensionally incorrect, as the dimensions on both sides are not equal.
(c) It is dimensionally incorrect, as the dimensions on both sides are not equal.
(d) y = \(\begin{array}{l}a\sqrt{2}\end{array} \) ( sin \(\begin{array}{l}\frac{2\pi t}{T}\end{array} \) + cos\(\begin{array}{l}\frac{2\pi t}{T}\end{array} \) )
Dimension of y = M0 L1 T0
The dimension of a = M0 L1 T0
Dimension of \(\begin{array}{l}\frac{t}{T}\end{array} \) = M0 L0 T0
The formula is dimensionally correct.",,,,,,,,
"2.17 One mole of an ideal gas at standard temperature and pressure occupies 22.4 L (molar volume). What is the ratio of molar volume to the atomic volume of a mole of hydrogen (Take the size of the hydrogen molecule to be about 1 ?)? Why is this ratio so large?
","Radius = 0.5 A = 0.5 x 10-10 m
Volume = \(\begin{array}{l}\frac{4}{3}\pi r^{3}\end{array} \)
= \(\begin{array}{l}\frac{4}{3}\end{array} \) x \(\begin{array}{l}\frac{22}{7}\end{array} \) x ( 0.5 x 10^(-10))3
= 0.524 x 10^(-30) m^3
1 hydrogen mole contains 6.023 x 10^23 hydrogen atoms.
Volume of 1 mole of hydrogen atom = 6.023 x 10^23 x 0.524 x 10^(-30)
= 3.16 x 10^(-7) m^3
Vm = 22.4 L = 22.4 x 10^(-3) m^3
The molar volume is 7.1 x 10^4 times more than the atomic volume. Hence, the inter-atomic separation in hydrogen gas is larger than the size of the hydrogen atom.",,,,,,,,
"2.18 Explain this common observation clearly: If you look out of the window of a fast-moving train, the nearby trees, houses etc., seem to move rapidly in a direction opposite to the train’s motion, but the distant objects (hilltops, the Moon, the stars etc.) seem to be stationary (In fact, since you are aware that you are moving, these distant objects seem to move with you).","An imaginary line which joins the object and the observer’s eye is called the line of sight. When we observe the nearby objects, they move fast in the opposite direction as the line of sight changes constantly, whereas the distant objects seem to be stationary as the line of sight does not change rapidly.",,,,,,,,
"2.19. The principle of ‘parallax’ in section 2.3.1 is used in the determination of distances of very distant stars. The baseline AB is the line joining the Earth’s two locations six months apart in its orbit around the Sun. That is, the baseline is about the diameter of the Earth’s orbit ≈ 3 × 1011m. However, even the nearest stars are so distant that with such a long baseline, they show parallax only of the order of 1” (second) of arc or so. A parsec is a convenient unit of length on the astronomical scale. It is the distance of an object that will show a parallax of 1” (second of arc) from opposite ends of a baseline equal to the distance from the Earth to the Sun. How much is a parsec in terms of metres?","Diameter of Earth’s orbit = 3 × 10^(11) m
Radius of Earth’s orbit r = 1.5 × 10^(11) m
Let the distance parallax angle be θ=1″ (s) = 4.847 × 10^(–6) rad.
Let the distance of the star be D.
Parsec is defined as the distance at which the average radius of the Earth’s orbit subtends an angle of 1″
Therefore, D = 1.5 × 10^11 /4.847 × 10^–6= 0.309 x 10^17 
Hence 1 parsec ≈ 3.09 × 10^16 m.",,,,,,,,
"2. 20. The nearest star to our solar system is 4.29 light-years away. How much is this
distance in terms of parsecs? How much parallax would this star (named Alpha
Centauri) show when viewed from two locations of the Earth six months apart in its
orbit around the Sun? ","1 light year is the distance travelled by light in a year.
1 light year = 3 x 10^8 x 365 x 24 x 60 x 60 = 9.46 x 10^15 m
Therefore, distance travelled by light in 4.29 light years = 4.29 x 9.46 x 10^15 = 4.058 x 10^16 m
Parsec is also a unit of distance
1 parsec = 3.08 x 10^16 m
Therefore, the distance travelled by light in parsec is given as
4.29 light years =4.508 x 10^16/3.80 x 10^16 = 1.318 parsec = 1.32 parsec
Using the relation,
θ = d / D
here,
d is the diameter of Earths orbit, d = 3 × 10^11 m
D is the distance of the star from the earth, D = 405868.32 × 10^11 m
∴ θ = 3 × 10^11 / 405868.32 × 10^11  =  7.39 × 10^(-6) rad
But the angle covered in 1 sec = 4.85 × 10^(–6) rad
∴ 7.39 × 10^(-6) rad = 7.39 × 10^(-6) / 4.85 × 10^(-6) =  1.52″",,,,,,,,
"2.21 Precise measurements of physical quantities are a need for science. For example, to ascertain the speed of an aircraft, one must have an accurate method to find its positions at closely separated instants of time. This was the actual motivation behind the discovery of radar in World War II. Think of different examples in modern science where precise measurements of length, time, mass etc., are needed. Also, wherever you can, give a quantitative idea of the precision needed.","Precise measurement is essential for the development of science. The ultra-short laser pulse is used for measurement of time intervals. X-ray spectroscopy is used to find the interatomic separation. To measure the mass of atoms, the mass spectrometer is developed.",,,,,,,,
"2.23 The Sun is a hot plasma (ionised matter) with its inner core at a temperature exceeding 107 K, and its outer surface at a temperature of about 6000 K. At these high temperatures, no substance remains in a solid or liquid phase. In what range do you expect the mass density of the Sun to be, in the range of densities of solids and liquids or gases? Check if your guess is correct from the following data: a mass of the Sun = 2.0 × 10^30 kg, the radius of the Sun = 7.0 × 10^8 m.","Mass = 2 x 10^30 kg
Radius = 7 x 10^8 m
Volume V = \(\begin{array}{l}\frac{4}{3}\pi r^{3}\end{array} \)
= \(\begin{array}{l}\frac{4}{3}\end{array} \) x \(\begin{array}{l}\frac{22}{7}\end{array} \) x (7 x 10^8)^3
= \(\begin{array}{l}\frac{88}{21}\end{array} \) x 512 x 10^24 m^3 = 2145.52 x 10^24 m^3
Density = \(\begin{array}{l}\frac{Mass}{Volume}\end{array} \) = \(\begin{array}{l}\frac{3\times 10^{30}}{2145.52\times 10^{24}}\end{array} \) = 1.39 x 10^3 kg/m5.
The density is in the range of solids and liquids. Its density is due to the high gravitational attraction on the outer layer by the inner layer of the sun.",,,,,,,,
"2.24. When the planet Jupiter is at a distance of 824.7 million kilometres from the Earth, its angular diameter is measured to be 35.72″ of arc. Calculate the diameter of Jupiter.","Distance of the planet Jupiter from Earth, D= 824.7 million kilometres  = 824.7 x 10^6 km
Angular diameter θ = 35.72 “= 35.72 x 4.85 x 10^(-6) rad
= 173.242 x 10^(-6) rad
Diameter of Jupiter d = θ x D= 173.241 x 10^(-6) x 824.7 x 10^6 km
=142871 = 1.43 x 10^5 km",,,,,,,,
"2.25. A man walking briskly in the rain with speed v must slant his umbrella forward, making an angle θ with the vertical. A student derives the following relation between θ and v: tan θ = v and checks that the relation has a correct limit: as v →0, θ →0, as expected (We are assuming there is no strong wind and that the rain falls vertically for a stationary man). Do you think this relation can be correct? If not, guess the correct relation.","According to the principle of homogeneity of dimensional equations,
Dimensions of L.H.S. = Dimensions of R.H.S.
In relation v = tan θ, tan θ is a trigonometric function, and it is dimensionless. The dimension of v is  [L1 T-1]. Therefore, this relation is incorrect.
To make the relation correct, the L.H.S. must be divided by the velocity of rain, u.
Therefore, the relation becomes
v/u= tan θ
This relation is correct dimensionally",,,,,,,,
"2.26. It is claimed that two caesium clocks, if allowed to run for 100 years, free from any disturbance, may differ by only about 0.02 s. What does this imply for the accuracy of the standard caesium clock in measuring a time interval of 1 s?","Total time = 100 years = 100 x 365 x 24 x 60 x 60 s
Error in 100 years = 0.02 s
Error in 1 second=0.02/100 x 365 x 24 x 60 x 60
=6.34 x 10^(-12) s
The accuracy of the standard caesium clock in measuring a time-interval of 1 s is 10^(-12) s.",,,,,,,,
"2.27. Estimate the average mass density of a sodium atom, assuming its size to be about 2.5 ? (Use the known values of Avogadro’s number and the atomic mass of sodium). Compare it with the mass density of sodium in its crystalline phase: 970 kg m^–3. Are the two densities of the same order of magnitude? If so, why?
","The diameter of sodium= 2.5 A = 2.5 x 10^(-10) m
Therefore, the radius is 1.25 x 10^(-10) m
The volume of a sodium atom, V= (4/3)πr^3
= (4/3) x (22/7) x (1.25 x 10^(-10))^ 3= 8.177 x 10^(-30) m^3
Mass of one mole atom of sodium = 23 g = 23 x 10^(-3) kg
1 mole of sodium contains 6.023 x 10^23 atoms
Therefore, the mass of one sodium atom, M= 23 x 10^(-3)/6.023 x 10^23= 3.818 x 10^(-26) kg
The atomic mass density of sodium, ρ= M/V
=3.818 x 10^(-26)/8.177 x 10^(-30)
= 0.46692 x 10^4= 4669.2 kg m^-3
The density of sodium in its solid state is 4669.2  kg m^-3, but in the crystalline phase, the density is 970 kg m^-3. Hence, both are in a different order. In the solid phase, atoms are tightly packed, but in the crystalline phase, atoms arrange a sequence which contains a void. So, the density in the solid phase is greater than in the crystalline phase.
",,,,,,,,
"2.29. A LASER is a source of very intense, monochromatic, and unidirectional beam of light. These properties of laser light can be exploited to measure long distances. The distance of the Moon from the Earth has already been determined very precisely using a laser as a source of light. A laser light beamed at the Moon takes 2.56 s to return after reflection at the Moon’s surface. How much is the radius of the lunar orbit around the Earth?
","Time taken for the laser beam to return to Earth after reflection by the Moon’s surface = 2.56 s
The speed of laser light is c = 3 x 10^8 m/s.
Let d be the distance of the Moon from the Earth,
The time taken by laser signal to reach the Moon, t = 2d/c
Therefore, d = tc/2 = (2.56 x 3 x 10^8)/2 = 3.84 x 10^8 m",,,,,,,,
"2. 30. A SONAR (sound navigation and ranging) uses ultrasonic waves to detect and locate objects underwater. In a submarine equipped with a SONAR, the time delay between the generation of a probe wave and the reception of its echo after reflection from an enemy submarine is found to be 77.0 s. What is the distance of the enemy submarine? (Speed of sound in water = 1450 m s^–1).
","Speed of sound in water,v = 1450 m s^–1
The time between generation and the reception of the echo after reflection, 2t= 77.0 s
Time taken for the sound waves to reach the submarine, t = 77.0/2 = 38. 5 s
Then v = d/t
Distance of enemy submarine, d  = tv
Therefore, d=vt=(1450 x 38. 5) =55825 m=55.8 x 10^3 m or 55.8 km.",,,,,,,,
"2.31. The farthest objects in our Universe discovered by modern astronomers are so distant that light emitted by them takes billions of years to reach the Earth. These objects (known as quasars) have many puzzling features which have not yet been satisfactorily explained. What is the distance in km of a quasar from which light takes 3.0 billion years to reach us?
","Time taken by light from the quasar to reach the observer, t = 3.0 billion years = 3.0 x 10^9 years = 3.0 x 10^9 x 365 x 24 x 60 x 60 s
= 94608000 x 10^9  s
=  9.46 x 10^16 m
Speed of light = 3 x 10^8 m/s
Distance of quasar from Earth  = 3.0 x 10^8 x 9.46 x 10^16 m
= 28.38 x 10^24 m",,,,,,,,
"Q1. In which of the following examples of motion can the body be consideredapproximately a point object?(a) A railway carriage moving without jerks between two stations.(b) A cap on top of a man cycling smoothly on a circular track.(c) A spinning cricket ball that turns sharply on hitting the ground.(d) A tumbling beaker that has slipped off the edge of a table. 
","(a), (b) The size of the railway carriage and the cap is very small as compared to the distance they’ve travelled, i.e. the distance between the two stations and the length of the race track, respectively. Therefore, the cap and the carriage can be considered as point objects.
The size of the cricket ball is comparable to the distance through which it bounces off after hitting the floor. Thus, the cricket ball cannot be treated as a point object. Likewise, the size of the beaker is comparable to the height of the table from which it drops.  Thus, the beaker cannot be treated as a point object.
",,,,,,,,
Q5. A jet aeroplane travelling at the speed of 500 km/h ejects its products of combustion at the speed of 1500 km/h relative to the jet plane. What is the speed of the latter with respect to an observer on the ground?,"Speed of the jet aeroplane, VA= 500 km/h
The speed at which the combustion products are ejected relative to the jet plane, VB – VA
= – 1500 km/h
(The negative sign indicates that the combustion products move in a direction opposite to that of the jet)
Speed of combustion products w.r.t. observer on the ground, VB – 500 = – 1500
VB = – 1500 + 500 = – 1000 km/h",,,,,,,,
"Q6. A car moving along a straight highway with a speed of 126 km h–1 is brought to a stop within a distance of 200 m. What is the retardation of the car (assumed uniform), and how long does it take for the car to stop?
","The initial velocity of the car = u
The final velocity of the car = v
Distance covered by the car before coming to rest = 200 m
Using the equation,
v = u + at
t = (v – u)/a = 11.44 sec.
Therefore, it takes 11.44 sec for the car to stop.",,,,,,,,
"Q7. Two trains, A and B, of length 400 m each, are moving on two parallel tracks with auniform speed of 72 km h^(–1) in the same direction, with A ahead of B. The driver ofB decides to overtake A and accelerates by 1 m s^(–2). If, after 50 s, the guard of B justbrushes past the driver of A, what was the original distance between them?
","Length of trains A and B = 400 m
Speed of both the trains = 72 km/h = 72 x (5/18) = 20m/s
Using the relation, s = ut + (1/2)at^2
Distance covered by the train B
SB = uBt + (1/2)at^2
Acceleration, a = 1 m/s
Time = 50 s
SB = (20 x 50) + (1/2) x 1 x (50)^2
= 2250 m
Distance covered by the train A
SA = uAt + (1/2)at^2
Acceleration, a = 0
SA = uAt  = 20 x 50 = 1000 m
Therefore, the original distance between the two trains = SB – SA = 2250 – 1000 = 1250 m",,,,,,,,
"Q8. On a two-lane road, car A is travelling at a speed of 36 km/h. Two cars, B andC, approach car A in opposite directions with a speed of 54 km/h each. At acertain instant, when the distance AB is equal to AC, both being 1 km, B decidesto overtake A before C does. What is the minimum acceleration of car B required toavoid an accident?
","The speed of car A = 36 km/h = 36 x (5/8) = 10 m/s
Speed of car B = 54 km/h = 54 x (5/18) = 15 m/s
Speed of car C = – 54 km/h = -54 x (5/18) = -15 m/s (negative sign shows B and C are in opposite directions)
Relative speed of A w.r.t. C, VAC = VA – VB = 10 – (-15) = 25 m/s
Relative speed of B w.r.t. A, VBA = VB – VA = 15 – 10 = 5 m/s
Distance between AB = Distance between AC = 1 km = 1000 m
Time taken by the car C to cover the distance AC, t = 1000/VAC = 1000/ 25 = 40 s
If a is the acceleration, then
s = ut + (1/2) at^2
1000 = (5 x 40) + (1/2) a (40)^ 2
a = (1000 – 200)/ 800 = 1 m/s^2
Thus, the minimum acceleration of car B required to avoid an accident is 1 m/s^2",,,,,,,,
"Q9. Two towns, A and B, are connected by regular bus service, with a bus leaving in either direction every T minutes. A man cycling with a speed of 20 km h^–1 in the direction A to B notices that a bus goes past him every 18 min in the direction of his motion and every 6 min in the opposite direction. What is the period T of the bus service, and with what speed (assumed constant) do the buses ply on the road? 
","Speed of each bus = Vb
Speed of the cyclist = Vc = 20 km/h
The relative velocity of the buses plying in the direction of motion of the cyclist is Vb – Vc.
The buses playing in the direction of motion of the cyclist go past him after every 18 minutes, i.e. (18/60) s.
Distance covered = (Vb – Vc ) x 18/60
Since the buses are leaving every T minutes. Therefore, the distance is equal to Vb x (T/60)
(Vb – Vc ) x 18/60 = Vb x (T/60) ——(1)
The relative velocity of the buses plying in the direction opposite to the motion of the cyclist is Vb + Vc
The buses go past the cyclist every 6 minutes, i.e. (6/60) s.
Distance covered = (Vb + Vc ) x 6/60
Therefore, (Vb +Vc ) x 6/60 = Vb x (T/60)——(2)
Dividing (2) by (1)
(Vb – Vc ) 18/(Vb +Vc ) 6 = 1
(Vb – Vc )3 = (Vb +Vc )
Substituting  the value of Vc
(Vb – 20 )3= (Vb + 20 )
3Vb – 60 = Vb + 20
2Vb = 80
Vb = 80/2 = 40 km/h
To find the value of T, substitute the values of Vb and Vc in equation (1)
(Vb – Vc ) x 18/60 = Vb x (T/60)
(40 – 20) x (18/60) = 40 x (T/60)
T = (20 x 18) /40 = 9 minutes",,,,,,,,
"Q10. A player throws a ball upwards with an initial speed of 29.4 m/s.(a) What is the direction of acceleration during the upward motion of the ball?(b) What are the velocity and acceleration of the ball at the highest point of its motion?(c) Choose the x = 0 m and t = 0 s to be the location and time of the ball at its highest point, vertically downward direction to be the positive direction of the x-axis, and give the signs of position, velocity and acceleration of the ball during its upward and downward motion.(d) To what height does the ball rise, and after how long does the ball return to the player’s hands? (Take g = 9.8 m s^–2 and neglect air resistance).
","(a) The acceleration due to gravity always acts downwards towards the centre of the Earth.
(b) At the highest point of its motion, the velocity of the ball will be zero, but the acceleration due to gravity will be 9.8 m s^–2  acting vertically downward.
(c) If we consider the highest point of ball motion as x = 0, t = 0, and vertically downward direction to be +ve direction of the x-axis, then
(i) During the upward motion of the ball before reaching the highest point position, x = +ve, velocity, v = -ve and acceleration, a = +ve.
(ii) During the downward motion of the ball after reaching the highest point position, velocity and acceleration, all three quantities are positive.
(d) Initial speed of the ball, u= -29.4 m/s
The final velocity of the ball, v = 0
Acceleration = 9.8 m/s^2
Applying in the equation v^2 – u^2 = 2gs
0 – (-29.4)2 = 2 (9.8) s
s = – 864.36/19.6 = – 44.1
Height to which the ball rises = – 44.1 m (negative sign represents upward direction)
Considering the equation of motion
v = u + at
0 = (-29.4) + 9.8t
t = 29.4/9.8 = 3 seconds
Therefore, the total time taken for the ball to return to the player’s hands is 3 +3 = 6 s.",,,,,,,,
"Q11. Read each statement below carefully and state with reasons and examples, if it is true or false; A particle in one-dimensional motion(a) with zero speed at an instant may have non-zero acceleration at that instant(b) with zero speed may have non-zero velocity(c) with constant speed must have zero acceleration(d) with positive value of acceleration must be speeding up","(a) True
(b) False
(c) True (if the particle rebounds instantly with the same speed, it implies infinite acceleration, which is unphysical)
(d) False (true only when the chosen positive direction is along the direction of motion)",,,,,,,,
"Q13. Provide clear explanations and examples to distinguish between:
(a) The total length of a path covered by a particle and the magnitude of displacement over the same interval of time.
(b) The magnitude of average velocity over an interval of time, and the average speed over the same interval. [Average speed of a particle over an interval of time is defined as the total path length divided by the time interval]. 
In (a) and (b), compare and find which of the two quantities is greater.
When can the given quantities be equal? [For simplicity, consider one-dimensional motion only].","( a ) Let us consider an example of a football; it is passed to player B by player A and then instantly kicked back to player A along the same path. Now, the magnitude of displacement of the ball is 0 because it has returned to its initial position. However, the total length of the path covered by the ball = AB +BA = 2AB. Hence, it is clear that the first quantity is greater than the second.
( b ) Taking the above example, let us assume that football takes t seconds to cover the total distance. Then,
The magnitude of the average velocity of the ball over time interval t = Magnitude of displacement/time interval
= 0 / t = 0.
The average speed of the ball over the same interval = total length of the path/time interval
= 2AB/t
Thus, the second quantity is greater than the first.
The above quantities are equal if the ball moves only in one direction from one player to another (considering one-dimensional motion).",,,,,,,,
"Q14. A man walks on a straight road from his home to a market 2.5 km away at aspeed of 5 km/h. Finding the market closed, he instantly turns and walks backhome with a speed of 7.5 km h^–1. What is the(a) Magnitude of average velocity, and(b) Average speed of the man over the interval of time (i) 0 to 30 min, (ii) 0 to 50 min, (iii) 0 to 40 min? 
","Distance to the market = 2.5 km = 2500 m
Speed of the man  walking to the market= 5 km/h = 5 x (5/18) = 1.388 m/s
Speed of the man walking when he returns back home = 7.5 km/h = 7.5  x (5/18) = 2.08 m/s
(a) Magnitude of the average speed is zero since the displacement is zero
(b)
(i) Time taken to reach the market = Distance/Speed = 2500/1.388 = 1800 seconds = 30 minutes
So, the average speed over 0 to 30 minutes is 5 km/h or  1.388 m/s
(ii) Time taken to reach back home = Distance/Speed = 2500/2.08 = 1200 seconds = 20 minutes
So, the average speed is
Average speed over a interval of 50 minutes= distance covered/time taken = (2500 + 2500)/3000 = 5000/3000 = 5/3 = 1.66 m/s
= 6 km/h
(ii) Average speed over an interval of 0-40 minutes = distance covered/ time taken = (2500+ 1250)/2400 = 1.5625 seconds = 5.6 km/h",,,,,,,,
"Q18. A police van moving on a highway with a speed of 30 km h^–1 fires a bullet at a thief’s car speeding away in the same direction with a speed of 192 km h^–1. If the muzzle speed of the bullet is 150 m s^–1, with what speed does the bullet hit the thief’s car? (Note: Obtain that speed which is relevant for damaging the thief’s car).
","Speed of the police van = 30 km/h = 30 x (5/18) = 25/3 m/s
Speed of a thief’s car = 192 km/h = 192 x (5/18) = 160/3 m/s
Muzzle Speed of  the bullet = 150 m/s
Speed of the bullet = speed of the police van + muzzle speed of  the bullet
= (25/3)+ 150 = 475/3 m/s
The relative velocity of the bullet w.r.t. the thief’s car is
v = Speed of the bullet – Speed of a thief’s car
= (475/3) – (160/3) = 105 m/s
The bullet hits the thief’s car at a speed of 105 m/s",,,,,,,,
